Date,Adj Close
6/30/17,2423.409912
7/3/17,2429.01001
7/5/17,2432.540039
7/6/17,2409.75
7/7/17,2425.179932
7/10/17,2427.429932
7/11/17,2425.530029
7/12/17,2443.25
7/13/17,2447.830078
7/14/17,2459.27002
7/17/17,2459.139893
7/18/17,2460.610107
7/19/17,2473.830078
7/20/17,2473.449951
7/21/17,2472.540039
7/24/17,2469.909912
7/25/17,2477.129883
7/26/17,2477.830078
7/27/17,2475.419922
7/28/17,2472.100098
7/31/17,2470.300049
8/1/17,2476.350098
8/2/17,2477.570068
8/3/17,2472.159912
8/4/17,2476.830078
8/7/17,2480.909912
8/8/17,2474.919922
8/9/17,2474.02002
8/10/17,2438.209961
8/11/17,2441.320068
8/14/17,2465.840088
8/15/17,2464.610107
8/16/17,2468.110107
8/17/17,2430.01001
8/18/17,2425.550049
8/21/17,2428.370117
8/22/17,2452.51001
8/23/17,2444.040039
8/24/17,2438.969971
8/25/17,2443.050049
8/28/17,2444.23999
8/29/17,2446.300049
8/30/17,2457.590088
8/31/17,2471.649902
9/1/17,2476.550049
9/5/17,2457.850098
9/6/17,2465.540039
9/7/17,2465.100098
9/8/17,2461.429932
9/11/17,2488.110107
9/12/17,2496.47998
9/13/17,2498.370117
9/14/17,2495.620117
9/15/17,2500.22998
9/18/17,2503.870117
9/19/17,2506.649902
9/20/17,2508.23999
9/21/17,2500.600098
9/22/17,2502.219971
9/25/17,2496.659912
9/26/17,2496.840088
9/27/17,2507.040039
9/28/17,2510.060059
9/29/17,2519.360107
10/2/17,2529.120117
10/3/17,2534.580078
10/4/17,2537.73999
10/5/17,2552.070068
10/6/17,2549.330078
10/9/17,2544.72998
10/10/17,2550.639893
10/11/17,2555.23999
10/12/17,2550.929932
10/13/17,2553.169922
10/16/17,2557.639893
10/17/17,2559.360107
10/18/17,2561.26001
10/19/17,2562.100098
10/20/17,2575.209961
10/23/17,2564.97998
10/24/17,2569.129883
10/25/17,2557.149902
10/26/17,2560.399902
10/27/17,2581.070068
10/30/17,2572.830078
10/31/17,2575.26001
11/1/17,2579.360107
11/2/17,2579.850098
11/3/17,2587.840088
11/6/17,2591.129883
11/7/17,2590.639893
11/8/17,2594.379883
11/9/17,2584.620117
11/10/17,2582.300049
11/13/17,2584.840088
11/14/17,2578.870117
11/15/17,2564.620117
11/16/17,2585.639893
11/17/17,2578.850098
11/20/17,2582.139893
11/21/17,2599.030029
11/22/17,2597.080078
11/24/17,2602.419922
11/27/17,2601.419922
11/28/17,2627.040039
11/29/17,2626.070068
11/30/17,2647.580078
12/1/17,2642.219971
12/4/17,2639.439941
12/5/17,2629.570068
12/6/17,2629.27002
12/7/17,2636.97998
12/8/17,2651.5
12/11/17,2659.98999
12/12/17,2664.110107
12/13/17,2662.850098
12/14/17,2652.01001
12/15/17,2675.810059
12/18/17,2690.159912
12/19/17,2681.469971
12/20/17,2679.25
12/21/17,2684.570068
12/22/17,2683.340088
12/26/17,2680.5
12/27/17,2682.620117
12/28/17,2687.540039
12/29/17,2673.610107
1/2/18,2695.810059
1/3/18,2713.060059
1/4/18,2723.98999
1/5/18,2743.149902
1/8/18,2747.709961
1/9/18,2751.290039
1/10/18,2748.22998
1/11/18,2767.560059
1/12/18,2786.23999
1/16/18,2776.419922
1/17/18,2802.560059
1/18/18,2798.030029
1/19/18,2810.300049
1/22/18,2832.969971
1/23/18,2839.129883
1/24/18,2837.540039
1/25/18,2839.25
1/26/18,2872.870117
1/29/18,2853.530029
1/30/18,2822.429932
1/31/18,2823.810059
2/1/18,2821.97998
2/2/18,2762.129883
2/5/18,2648.939941
2/6/18,2695.139893
2/7/18,2681.659912
2/8/18,2581
2/9/18,2619.550049
2/12/18,2656
2/13/18,2662.939941
2/14/18,2698.629883
2/15/18,2731.199951
2/16/18,2732.219971
2/20/18,2716.26001
2/21/18,2701.330078
2/22/18,2703.959961
2/23/18,2747.300049
2/26/18,2779.600098
2/27/18,2744.280029
2/28/18,2713.830078
3/1/18,2677.669922
3/2/18,2691.25
3/5/18,2720.939941
3/6/18,2728.120117
3/7/18,2726.800049
3/8/18,2738.969971
3/9/18,2786.570068
3/12/18,2783.02002
3/13/18,2765.310059
3/14/18,2749.47998
3/15/18,2747.330078
3/16/18,2752.01001
3/19/18,2712.919922
3/20/18,2716.939941
3/21/18,2711.929932
3/22/18,2643.689941
3/23/18,2588.26001
3/26/18,2658.550049
3/27/18,2612.620117
3/28/18,2605
3/29/18,2640.870117
4/2/18,2581.879883
4/3/18,2614.449951
4/4/18,2644.689941
4/5/18,2662.840088
4/6/18,2604.469971
4/9/18,2613.159912
4/10/18,2656.870117
4/11/18,2642.189941
4/12/18,2663.98999
4/13/18,2656.300049
4/16/18,2677.840088
4/17/18,2706.389893
4/18/18,2708.639893
4/19/18,2693.129883
4/20/18,2670.139893
4/23/18,2670.290039
4/24/18,2634.560059
4/25/18,2639.399902
4/26/18,2666.939941
4/27/18,2669.909912
4/30/18,2648.050049
5/1/18,2654.800049
5/2/18,2635.669922
5/3/18,2629.72998
5/4/18,2663.419922
5/7/18,2672.629883
5/8/18,2671.919922
5/9/18,2697.790039
5/10/18,2723.070068
5/11/18,2727.719971
5/14/18,2730.129883
5/15/18,2711.449951
5/16/18,2722.459961
5/17/18,2720.129883
5/18/18,2712.969971
5/21/18,2733.01001
5/22/18,2724.439941
5/23/18,2733.290039
5/24/18,2727.76001
5/25/18,2721.330078
5/29/18,2689.860107
5/30/18,2724.01001
5/31/18,2705.27002
6/1/18,2734.620117
6/4/18,2746.870117
6/5/18,2748.800049
6/6/18,2772.350098
6/7/18,2770.370117
6/8/18,2779.030029
6/11/18,2782
6/12/18,2786.850098
6/13/18,2775.629883
6/14/18,2782.48999
6/15/18,2779.659912
6/18/18,2773.75
6/19/18,2762.590088
6/20/18,2767.320068
6/21/18,2749.76001
6/22/18,2754.879883
6/25/18,2717.070068
6/26/18,2723.060059
6/27/18,2699.629883
6/28/18,2716.310059
6/29/18,2718.370117
7/2/18,2726.709961
7/3/18,2713.219971
7/5/18,2736.610107
7/6/18,2759.820068
7/9/18,2784.169922
7/10/18,2793.840088
7/11/18,2774.02002
7/12/18,2798.290039
7/13/18,2801.310059
7/16/18,2798.429932
7/17/18,2809.550049
7/18/18,2815.620117
7/19/18,2804.48999
7/20/18,2801.830078
7/23/18,2806.97998
7/24/18,2820.399902
7/25/18,2846.070068
7/26/18,2837.439941
7/27/18,2818.820068
7/30/18,2802.600098
7/31/18,2816.290039
8/1/18,2813.360107
8/2/18,2827.219971
8/3/18,2840.350098
8/6/18,2850.399902
8/7/18,2858.449951
8/8/18,2857.699951
8/9/18,2853.580078
8/10/18,2833.280029
8/13/18,2821.929932
8/14/18,2839.959961
8/15/18,2818.370117
8/16/18,2840.689941
8/17/18,2850.129883
8/20/18,2857.050049
8/21/18,2862.959961
8/22/18,2861.820068
8/23/18,2856.97998
8/24/18,2874.689941
8/27/18,2896.73999
8/28/18,2897.52002
8/29/18,2914.040039
8/30/18,2901.129883
8/31/18,2901.52002
9/4/18,2896.719971
9/5/18,2888.600098
9/6/18,2878.050049
9/7/18,2871.679932
9/10/18,2877.129883
9/11/18,2887.889893
9/12/18,2888.919922
9/13/18,2904.179932
9/14/18,2904.97998
9/17/18,2888.800049
9/18/18,2904.310059
9/19/18,2907.949951
9/20/18,2930.75
9/21/18,2929.669922
9/24/18,2919.370117
9/25/18,2915.560059
9/26/18,2905.969971
9/27/18,2914
9/28/18,2913.97998
10/1/18,2924.590088
10/2/18,2923.429932
10/3/18,2925.51001
10/4/18,2901.610107
10/5/18,2885.570068
10/8/18,2884.429932
10/9/18,2880.340088
10/10/18,2785.679932
10/11/18,2728.370117
10/12/18,2767.129883
10/15/18,2750.790039
10/16/18,2809.919922
10/17/18,2809.209961
10/18/18,2768.780029
10/19/18,2767.780029
10/22/18,2755.879883
10/23/18,2740.689941
10/24/18,2656.100098
10/25/18,2705.570068
10/26/18,2658.689941
10/29/18,2641.25
10/30/18,2682.629883
10/31/18,2711.73999
11/1/18,2740.370117
11/2/18,2723.060059
11/5/18,2738.310059
11/6/18,2755.449951
11/7/18,2813.889893
11/8/18,2806.830078
11/9/18,2781.01001
11/12/18,2726.219971
11/13/18,2722.179932
11/14/18,2701.580078
11/15/18,2730.199951
11/16/18,2736.27002
11/19/18,2690.72998
11/20/18,2641.889893
11/21/18,2649.929932
11/23/18,2632.560059
11/26/18,2673.449951
11/27/18,2682.169922
11/28/18,2743.790039
11/29/18,2737.800049
11/30/18,2760.169922
12/3/18,2790.370117
12/4/18,2700.060059
12/6/18,2695.949951
12/7/18,2633.080078
12/10/18,2637.719971
12/11/18,2636.780029
12/12/18,2651.070068
12/13/18,2650.540039
12/14/18,2599.949951
12/17/18,2545.939941
12/18/18,2546.159912
12/19/18,2506.959961
12/20/18,2467.419922
12/21/18,2416.620117
12/24/18,2351.100098
12/26/18,2467.699951
12/27/18,2488.830078
12/28/18,2485.73999
12/31/18,2506.850098
1/2/19,2510.030029
1/3/19,2447.889893
1/4/19,2531.939941
1/7/19,2549.689941
1/8/19,2574.409912
1/9/19,2584.959961
1/10/19,2596.639893
1/11/19,2596.26001
1/14/19,2582.610107
1/15/19,2610.300049
1/16/19,2616.100098
1/17/19,2635.959961
1/18/19,2670.709961
1/22/19,2632.899902
1/23/19,2638.699951
1/24/19,2642.330078
1/25/19,2664.76001
1/28/19,2643.850098
1/29/19,2640
1/30/19,2681.050049
1/31/19,2704.100098
2/1/19,2706.530029
2/4/19,2724.870117
2/5/19,2737.699951
2/6/19,2731.610107
2/7/19,2706.050049
2/8/19,2707.879883
2/11/19,2709.800049
2/12/19,2744.72998
2/13/19,2753.030029
2/14/19,2745.72998
2/15/19,2775.600098
2/19/19,2779.76001
2/20/19,2784.699951
2/21/19,2774.879883
2/22/19,2792.669922
2/25/19,2796.110107
2/26/19,2793.899902
2/27/19,2792.379883
2/28/19,2784.48999
3/1/19,2803.689941
3/4/19,2792.810059
3/5/19,2789.649902
3/6/19,2771.449951
3/7/19,2748.929932
3/8/19,2743.070068
3/11/19,2783.300049
3/12/19,2791.52002
3/13/19,2810.919922
3/14/19,2808.47998
3/15/19,2822.47998
3/18/19,2832.939941
3/19/19,2832.570068
3/20/19,2824.22998
3/21/19,2854.879883
3/22/19,2800.709961
3/25/19,2798.360107
3/26/19,2818.459961
3/27/19,2805.370117
3/28/19,2815.439941
3/29/19,2834.399902
4/1/19,2867.189941
4/2/19,2867.23999
4/3/19,2873.399902
4/4/19,2879.389893
4/5/19,2892.73999
4/8/19,2895.77002
4/9/19,2878.199951
4/10/19,2888.209961
4/11/19,2888.320068
4/12/19,2907.409912
4/15/19,2905.580078
4/16/19,2907.060059
4/17/19,2900.449951
4/18/19,2905.030029
4/22/19,2907.969971
4/23/19,2933.679932
4/24/19,2927.25
4/25/19,2926.169922
4/26/19,2939.879883
4/29/19,2943.030029
4/30/19,2945.830078
5/1/19,2923.72998
5/2/19,2917.52002
5/3/19,2945.639893
5/6/19,2932.469971
5/7/19,2884.050049
5/8/19,2879.419922
5/9/19,2870.719971
5/10/19,2881.399902
5/13/19,2811.870117
5/14/19,2834.409912
5/15/19,2850.959961
5/16/19,2876.320068
5/17/19,2859.530029
5/20/19,2840.22998
5/21/19,2864.360107
5/22/19,2856.27002
5/23/19,2822.23999
5/24/19,2826.060059
5/28/19,2802.389893
5/29/19,2783.02002
5/30/19,2788.860107
5/31/19,2752.060059
6/3/19,2744.449951
6/4/19,2803.27002
6/5/19,2826.149902
6/6/19,2843.48999
6/7/19,2873.340088
6/10/19,2886.72998
6/11/19,2885.719971
6/12/19,2879.840088
6/13/19,2891.639893
6/14/19,2886.97998
6/17/19,2889.669922
6/18/19,2917.75
6/19/19,2926.459961
6/20/19,2954.179932
6/21/19,2950.459961
6/24/19,2945.350098
6/25/19,2917.379883
6/26/19,2913.780029
6/27/19,2924.919922
6/28/19,2941.76001
7/1/19,2964.330078
7/2/19,2973.01001
7/3/19,2995.820068
7/5/19,2990.409912
7/8/19,2975.949951
7/9/19,2979.629883
7/10/19,2993.070068
7/11/19,2999.909912
7/12/19,3013.77002
7/15/19,3014.300049
7/16/19,3004.040039
7/17/19,2984.419922
7/18/19,2995.110107
7/19/19,2976.610107
7/22/19,2985.030029
7/23/19,3005.469971
7/24/19,3019.560059
7/25/19,3003.669922
7/26/19,3025.860107
7/29/19,3020.969971
7/30/19,3013.179932
7/31/19,2980.379883
8/1/19,2953.560059
8/2/19,2932.050049
8/5/19,2844.73999
8/6/19,2881.77002
8/7/19,2883.97998
8/8/19,2938.090088
8/9/19,2918.649902
8/12/19,2882.699951
8/13/19,2926.320068
8/14/19,2840.600098
8/15/19,2847.600098
8/16/19,2888.679932
8/19/19,2923.649902
8/20/19,2900.51001
8/21/19,2924.429932
8/22/19,2922.949951
8/23/19,2847.110107
8/26/19,2878.379883
8/27/19,2869.159912
8/28/19,2887.939941
8/29/19,2924.580078
8/30/19,2926.459961
9/3/19,2906.27002
9/4/19,2937.780029
9/5/19,2976
9/6/19,2978.709961
9/9/19,2978.429932
9/10/19,2979.389893
9/11/19,3000.929932
9/12/19,3009.570068
9/13/19,3007.389893
9/16/19,2997.959961
9/17/19,3005.699951
9/18/19,3006.72998
9/19/19,3006.790039
9/20/19,2992.070068
9/23/19,2991.780029
9/24/19,2966.600098
9/25/19,2984.870117
9/26/19,2977.620117
9/27/19,2961.790039
9/30/19,2976.73999